energy,condition,volume,weight,machine_id,speed
1711.1,C000K,179.0,25.0,M3,5.9
581.6,C000AZ,63.0,13.0,M1,16.9
650.0,C000AZ,71.0,12.0,M2,15.1
608.7,C000AZ,68.0,13.0,M2,16.7
863.6,C000T,94.0,17.0,M1,11.7
1657.9,C000AL,171.0,24.0,M2,6.0
844.7,C000O,91.0,15.0,M2,11.8
1612.6,C000J,168.0,25.0,M1,6.2
1042.2,C000H,109.0,18.0,M2,9.5
962.8,C000AL,105.0,17.0,M2,10.3
682.6,C000S,76.0,14.0,M1,14.6
885.9,C000AL,96.0,17.0,M2,11.3
876.8,C000N,95.0,16.0,M2,11.4
1125.7,C000AL,118.0,20.0,M2,8.8
1302.6,C000AY,139.0,20.0,M1,7.6
806.6,C000F,88.0,14.0,M1,12.4
824.6,C000N,89.0,15.0,M2,12.2
820.1,C000F,90.0,17.0,M1,12.2
894.3,C000T,96.0,16.0,M4,11.3
1458.5,C000X,153.0,22.0,M1,6.9
719.8,C000Y,81.0,12.0,M4,13.9
875.9,C000O,94.0,14.0,M1,11.4
1083.1,C000AJ,114.0,17.0,M2,9.2
798.7,C000T,87.0,15.0,M1,12.5
811.4,C000F,87.0,16.0,M1,12.4
1643.3,C000X,172.0,23.0,M1,6.1
577.8,C000AZ,65.0,12.0,M2,17.2
1163.4,C000W,124.0,18.0,M1,8.6
1142.1,C000X,121.0,20.0,M1,8.8
1099.4,C000O,117.0,18.0,M4,9.2
1317.4,C000AK,139.0,21.0,M1,7.6
838.3,C000AM,92.0,16.0,M1,12.0
963.5,C000AJ,104.0,18.0,M2,10.3
1376.2,C000J,143.0,20.0,M4,7.2
624.1,C000AZ,69.0,13.0,M2,16.0
1226.8,C000W,131.0,19.0,M1,8.1
1029.0,C000AJ,110.0,19.0,M2,9.7
846.0,C000O,91.0,15.0,M2,11.8
962.0,C000Z,102.0,17.0,M1,10.3
1937.7,C000W,200.0,26.0,M1,5.2
730.0,C000S,80.0,14.0,M1,13.8
1221.5,C000X,130.0,18.0,M1,8.2
836.1,C000AL,90.0,15.0,M2,12.0
837.6,C000S,92.0,15.0,M1,11.9
838.9,C000Q,91.0,13.0,M2,11.9
1359.3,C000W,141.0,22.0,M2,7.3
880.0,C000AL,96.0,15.0,M2,11.5
1426.6,C000AP,149.0,22.0,M1,7.0
838.5,C000Y,91.0,16.0,M2,11.9
945.6,C000AY,102.0,17.0,M1,10.5
812.0,C000O,87.0,17.0,M1,12.3
899.3,C000AY,98.0,15.0,M1,11.1
1175.5,C000W,124.0,18.0,M1,8.5
913.4,C000Y,99.0,17.0,M1,11.0
788.9,C000F,87.0,15.0,M2,12.7
1097.9,C000AY,117.0,19.0,M1,9.1
770.0,C000Y,84.0,15.0,M1,13.0
869.9,C000Y,94.0,15.0,M2,11.5
1248.6,C000AK,130.0,19.0,M1,8.0
1204.7,C000X,129.0,19.0,M1,8.3
708.1,C000AZ,77.0,15.0,M2,14.2
877.4,C000S,94.0,19.0,M1,11.4
1160.4,C000W,123.0,19.0,M1,8.6
825.7,C000Z,90.0,14.0,M1,12.2
1398.1,C000AJ,147.0,22.0,M1,7.2
808.4,C000T,87.0,14.0,M2,12.4
1286.0,C000AK,137.0,20.0,M1,7.8
1404.9,C000Y,147.0,20.0,M1,7.1
624.6,C000AZ,70.0,14.0,M2,16.2
855.1,C000T,91.0,16.0,M1,11.8
1019.7,C000V,109.0,17.0,M1,9.8
1317.0,C000O,137.0,20.0,M2,7.6
1235.4,C000X,132.0,18.0,M1,8.1
1178.7,C000W,124.0,18.0,M1,8.4
